Day 1 Monday,Lombardy A,Lombardy B,Tuscany AB,Campania,Umbria,Trentino
8:00 - 8:45,Keynote - GasBuddy: Home Grown Success - Jason Toews,,,,,
9:00 - 10:15,Learning to Love Javascript                         James Kovacs,Web & Cloud Development (VS Web)                                           David Wesst,Induction into the       Android Army                    Tom Opgenorth,Advanced Design Patterns Amir Barylko,The Windows 8 Platform Tommy Lee,
10:30 - 11:45,Web Ops                          Melanie Cey,A Tour of ASP.NET Web API                               James Chambers,iOS for .NET Devs                  Nick Landry,Want to be a Front-End Engineer?                         David Mosher,Design Win 8 Store Apps Tommy Lee,
11:45 - 1:00,Lunch and Vendor Sessions,,,,,
1:00 - 2:15,Building SharePoint 2010 Workflows                           Frode Aarebrot,Queing Tech for Distribution and Scalability                       Simon Timms,HTML5: Parts You Care About David Wesst,What's New in SQL Server 2012                                  Mike DeFehr,"iOS: Top Tips from Dev, Marketing, & Design           Bradford Parkendorf        (Brett Park)",Silence of Agile Steve Rogalsky
2:30 - 3:45,Intro to EF Code First         David Paquette,Azure Has Grown Up           Tyler Doerksen,ASP.NET MVC 4 Dojo          James Chambers,Continuous Integration Evolved                               Don Belcham,Android - Come Build an App! (Dojo)                                   Brent Watson,
4:00 - 5:15,Process Overload - Cut Yourself Free!                      Chris Deganais,Office 365 & SharePoint Hybrid Solutions          Jason Kaczor,,Do This; No Do That…           Eden Rohatensky,,
Day 2 Tuesday,Lombardy A,Lombardy B,Tuscany AB,Campania,Umbria,Trentino
8:00 - 9:10,8 .NET Web Services in 75 Minutes                                    Chad Emm,Cloud Ops to Dev Ops - Monitoring/Managing Apps in the Cloud                                   Darrel Sharpe,Dale Zak (TBD),SQL Server Extended Events Mike DeFehr,Spring & Spring.NET - Developing for the Cloud Omer Qureshi,
9:20 - 10:30,X-Platform Dev with Xamarin                            Tom Opgenorth,Getting Started with WP Dev                                    Nick Landry,Source Control Crusades Aaron Jones,"Open Data: A Paradigm Shift Andrew Dyck, @ChadEm, Dale Zak",Using Node.JS to Manage Client Side Development                     David Mosher,Multitaskers Anonymous        Steve Rogalsky
10:45 - 12:00,Tools for Teamwork (VS ALM)                                Aaron Kowal,Let's Get Organized!                 Chris Dagenais,,App Design for Windows Phone                             James Chambers,,
12:00 - 1:00,Lunch and Prizes,,,,,
1:00 - 2:15,MVC/Ruby DeathMatch James Kovacs,Beautiful JS with Coffeescript Amiry Barylko,Build an HTML5 Mobile App with Sencha Touch Jordan Boesch,The Dark Side of Code Metrics                         Donald Belcham,Single Page Apps              Simon Timms,
2:30 - 3:45,EF Code Based Migrations David Paquette,Dev Ops                           Melanie Cey,,Cloud Based Backend James Chambers,Backbone - Javascript MVC @ChadEm,
4:00 - 5:15,,Stripes (Java MVC)                Brent Watson,"Building ""Apps"" for SharePoint 2013          Jason Kaczor",Hardware Projects for Software Devs                              Matt Haines,Aaron Kowall (TBD),
